tweet_id,user_id,text,user_screen_name,username,date,retweets,likes,replies
1091466194228600841,717220015645265920,kakaka que lindinha essa desgraçahttps://twitter.com/archillect/status/1091463756608167937 …,_Liviazz,ت L١٧١٨,1549060793000,0,5,0
1091379992381005824,720061600758177792,"Ai meu 
Grrrrr 
Só some da minha vida já saí da Ut",reinstein_leon,Leon 🐟,1549040241000,1,1,1
1090380991133290496,417100349,tame impala- só é corno quem descobre,thestroxes,gabricu,1548802061000,2748,5130,25
1090830281139998720,717220015645265920,"você meio que fica ""mano filha da puta"" mas ae tbm ""porra olha ai pq ele é filho da puta""
mas tipo não torna ele menos filha daputa sabe? é legal e enjoa",_Liviazz,ت L١٧١٨,1548909180000,0,1,1
1090829971688443904,717220015645265920,"é meio bizarro pq ele é completo maluco e tipo vc se apega sabe ? 
e tenta tipo""porra maluco nao"" nao faz isso 
eai ele mostra o histórico do personagem meio que traz a historia dele tbm e te faz entender o pq daquilo meio que tentando sempre justificar e é legalzinho até",_Liviazz,ت L١٧١٨,1548909106000,0,1,0
1090829005585039360,717220015645265920,"é meio suspense psicológico acho é mt bom guria eu gostei bastante mas é meio enrolada tipo eu enjoei uns tempo ai  mas ai voltei no final fiquei bem ""hmm legalzinho xoxo""",_Liviazz,ت L١٧١٨,1548908876000,0,1,0
1090388165691609089,717220015645265920,HJJAHAHAA eu sou essa pessoa socorro não me suportam mais,_Liviazz,ت L١٧١٨,1548803771000,0,1,1
1090011880599576578,1036770944168194048,pic.twitter.com/b0hN6S1OJO,rolealeatorio,Rolê Aleatório,1548714058000,781,2476,44
1088943521304846338,717220015645265920,eu me arrastando até a cozinha...https://twitter.com/CGdrawing/status/1088631143530778624 …,_Liviazz,ت L١٧١٨,1548459341000,0,3,0
1088889479136509953,717220015645265920,"fui comprar pão 
voltei sem pão e com 2 marca textos 
ai mds 
eu vo por eles em cima da mesa do café da tarde e fingir demência",_Liviazz,ت L١٧١٨,1548446457000,0,5,1
1088524343284502535,717220015645265920,só li verdades adoro seus miojinhos de tomate da madrugada,_Liviazz,ت L١٧١٨,1548359401000,0,1,1
1088522109767335936,717220015645265920,"olha eu ganhei lg g3 e  ele é muito bomzinho mas depois de um ano ele dá muuuito problema 
e ninguém soube me dizer levei em vários lugares pra ajeitar e trocaram a placa e a bateria e não funcionou 
então sei la eu nao gostei mt nao pq foi jogado um dinheirão fora",_Liviazz,ت L١٧١٨,1548358869000,0,0,1
1088214147303653377,59169657,Minha descrição no LinkedIn!pic.twitter.com/QhplcCOH1F,Leeow_,𝙻𝚎𝚘𝚗𝚊𝚛𝚍𝚘 𝙿𝚛𝚊𝚍𝚘 ♎,1548285445000,190,460,17
1087532741372055552,3007828336,criando crushes platônicos de outros países só pra não ter a chance de dar certo mesmo pq preciso ficar sozinha porém adoro o quentinho no coração,mkarolqueiroz,karol queiroz,1548122985000,504,2564,32
1087459741255766016,24688200,pic.twitter.com/ciyaQUwDp9,thateuss,thateus,1548105580000,140,447,1
1087123712237846530,1003703530258075648,"tem umas 3 vozes na minha cabeça dizendo
corta o cabelo
deixa crescer
pinta",uedroga,depressivo,1548025465000,13891,13043,84
1087361655338688512,717220015645265920,nao sei eu parei de usar chama no chat daqui ai te conto ,_Liviazz,ت L١٧١٨,1548082195000,0,0,0
1087361457031966721,717220015645265920,a dhara morreu ?? como assim ?? como ??puz nao sabia :<,_Liviazz,ت L١٧١٨,1548082148000,0,0,0
1086734036066811905,717220015645265920,"o que aconteceu com a dhara?
e o cock é aquele que você adotou e ficou com seu tio ?
eu tenho um vídeo com ele no seu aniver de 2017dfhasihdafia (eu dançando com o cock) se for o dog q eu to pensando",_Liviazz,ت L١٧١٨,1547932559000,0,1,1
1086366876345778177,717220015645265920,https://www.youtube.com/watch?v=ZdpZ-93uUnY …,_Liviazz,ت L١٧١٨,1547845021000,0,0,0
1086274719651749889,1072655676483272704,nunca deixem esse video morrerpic.twitter.com/kmW00J51Yy,maitemurcia2,the lost princess,1547823049000,1492,3403,81
1086088716253319168,717220015645265920,"Acho que a tradução correta é ""piranha""",_Liviazz,ت L١٧١٨,1547778703000,0,2,1
1086058984493252608,717220015645265920,"ai eu nao acho feio nao 
acho fofinho até se foi com a intenção boa sabe?
""vamo sair combinandinho """,_Liviazz,ت L١٧١٨,1547771614000,0,1,1
1086002057134436357,735171613725884416,pic.twitter.com/oKeIk749cg,piriguetetriste,momoaRa,1547758042000,3311,6441,28
