tweet_id,user_id,text,user_screen_name,username,date,retweets,likes,replies
1091797656823832576,78469733,To esperando meu tour de histórias assombradas no subterrâneo de Edimburgo . Duvido que algo me assuste mais que esperar aqui no frio,AleehBAveer,Аlessandra B. Aver,1549139820000,0,0,0
1091796808794288130,78469733,Miga era uma degustação. Impossível tomar errado kkk,AleehBAveer,Аlessandra B. Aver,1549139618000,0,1,2
1091783502993985536,78469733,Hoje descobri que Wiskey é ECA,AleehBAveer,Аlessandra B. Aver,1549136446000,0,1,1
1091163949846933505,78469733,"Acordei passando mal, to bem feliz",AleehBAveer,Аlessandra B. Aver,1548988733000,0,0,0
1090966305413480448,78469733,Acho que o Athletico precisa de um elenco mais solteiro.,AleehBAveer,Аlessandra B. Aver,1548941611000,0,0,0
1090966093798273025,78469733,"Agora que o Marcinho tá solteiro, foi pro Goiás",AleehBAveer,Аlessandra B. Aver,1548941560000,0,0,1
1090733322492436480,78469733,To comendo um bolo esperando meu furacão ,AleehBAveer,Аlessandra B. Aver,1548886063000,0,0,0
1090724870088998912,78469733,"Isso que eu chamo de vida , mds",AleehBAveer,Аlessandra B. Aver,1548884048000,0,2,1
1090583338442735619,920737902925090817,Devido aos problemas o Athletiba será disputado somente entre Petraglia e Samir pelo PlayStation com transmissão via facebook,aldeia_noticias,Aldeia News,1548850304000,77,229,2
1090712077524705280,78469733,Ih,AleehBAveer,Аlessandra B. Aver,1548880998000,0,1,0
1090709573143539717,78469733,,AleehBAveer,Аlessandra B. Aver,1548880401000,0,0,0
1090709503299993601,78469733,"Ah mds que lindo . 
Obg vc é um amor",AleehBAveer,Аlessandra B. Aver,1548880384000,1,1,1
1090708536965939208,78469733,Vai transmitir ou só lances?,AleehBAveer,Аlessandra B. Aver,1548880154000,0,0,1
1090708271730737167,78469733,Jogo do CAP vai passar em algum lugar?,AleehBAveer,Аlessandra B. Aver,1548880091000,0,0,2
1090704483783491586,78469733,Seis acham que eu tenho sotaque de paranaense ?,AleehBAveer,Аlessandra B. Aver,1548879187000,0,0,0
1090407614167552001,78469733,Um dia eu quero ter grana e uma parceria pra viajar o mundo assistindo jogos de futebol e outros eventos esportivos.,AleehBAveer,Аlessandra B. Aver,1548808408000,0,1,1
1090406520888745984,78469733,Simmm ,AleehBAveer,Аlessandra B. Aver,1548808148000,0,1,0
1090402634664722432,78469733,Um clássico contra o Bate borisov da Bielorrúsia ,AleehBAveer,Аlessandra B. Aver,1548807221000,0,0,1
1090401531181105152,78469733,Esse vou trazer pro @AthleticoPR,AleehBAveer,Аlessandra B. Aver,1548806958000,0,0,1
1090401348770824192,78469733,Socorro ,AleehBAveer,Аlessandra B. Aver,1548806914000,0,2,0
